index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
274,palu,-0.9,119.87,62.47,32,ID,1542665017,93,1.68
275,bar harbor,44.39,-68.2,32,90,US,1542662040,100,5.82
276,windhoek,-22.57,17.08,80.6,24,NA,1542661200,50,8.05
277,naze,5.43,7.07,76.42,56,NG,1542664593,93,7.83
278,paamiut,61.99,-49.67,36.77,68,GL,1542664546,91,11.18
280,salou,41.08,1.14,51.8,80,ES,1542663000,93,3.24
281,rock springs,41.59,-109.2,33.98,1,US,1542664440,43,2.57
282,north bend,43.41,-124.22,48.92,1,US,1542660960,86,4.7
283,shelbyville,39.41,-88.79,38.3,90,US,1542663300,88,8.05
284,chaoyang,41.58,120.44,23.05,24,CN,1542665019,80,6.71
285,ostrovnoy,68.05,39.51,25.97,0,RU,1542664607,77,15.66
286,ketchikan,55.34,-131.65,50,20,US,1542660960,85,13.87
287,vestmannaeyjar,63.44,-20.27,45.32,12,IS,1542664767,90,24.16
288,rio grande,-32.03,-52.1,73.4,0,BR,1542660300,35,9.17
289,carupano,10.67,-63.26,80.97,68,VE,1542665019,89,13.2
290,nanortalik,60.14,-45.24,36.1,92,GL,1542664556,88,11.3
291,faanui,-16.48,-151.75,82,64,PF,1542664561,100,4.36
292,hualmay,-11.1,-77.61,72.14,12,PE,1542664600,64,5.93
293,puyang,35.76,115.02,38.35,0,CN,1542665020,90,9.95
294,corrales,5.83,-72.84,56.12,68,CO,1542665020,94,1.9
295,batagay,67.65,134.64,-24.03,36,RU,1542665020,35,3.13
297,teguldet,57.31,88.17,1.32,80,RU,1542664617,71,3.8
298,bundaberg,-24.87,152.35,74.22,8,AU,1542664844,100,10.51
299,lata,30.78,78.62,32.95,0,IN,1542664540,79,1.68
300,mandera,3.94,41.86,69.58,0,ET,1542664627,91,2.8
301,shimoda,34.7,138.93,51.8,40,JP,1542658680,93,1.12
302,uulu,58.28,24.58,28.94,12,EE,1542665021,87,6.93
303,panguna,-6.32,155.48,75.57,92,PG,1542665021,89,1.68
304,tshane,-24.02,21.87,73.94,8,BW,1542665021,32,3.02
305,pokrovskoye,47.41,38.9,29.53,80,RU,1542665021,86,11.41
306,vanimo,-2.67,141.3,81.59,64,PG,1542664624,100,7.05
307,candolim,15.52,73.76,76.55,0,IN,1542664897,100,3.36
308,mecca,21.43,39.83,68,0,SA,1542664803,68,3.13
309,denpasar,-8.65,115.22,80.6,20,ID,1542663000,83,9.17
